English	Hungarian
String theory	Húrelmélet
Stroke	Agyvérzés
Strong interaction	Erős kölcsönhatás
Strontium	Stroncium
Structuralism	Strukturalizmus
Stub	Sablon:Csonk
Stupa	Sztúpa
Sturmabteilung	Sturmabteilung
Stuttgart	Stuttgart
Styx	Sztüx
Sub-Saharan Africa	Fekete-Afrika
Subculture	Underground
Submarine	Tengeralattjáró
Subset	Részhalmaz
Subversion (software)	Subversion
Sucre	Sucre történelmi óvárosa
Sudan	Szudán
Sudan	Kategória:Szudán
Sudoku	Szúdoku
Suez Canal	Szuezi-csatorna
Sugar	Cukor
Suharto	Suharto
Sulawesi	Celebesz
Sulfur	Kén
Sulfur dioxide	Kén-dioxid
Sulfuric acid	Kénsav
Sultan	Szultán
Sumatra	Szumátra
Sumer	Sumer
Summer	Nyár
Sumo	Szumó
Sun	Nap
Sun Yat-sen	Szun Jat-szen
Sunday	Vasárnap
Sunflower	Napraforgó
Sunspot	Napfolt
Superconductivity	Szupravezetés
Superman	Superman
Supernova	Szupernóva
Sura	Szúra
Surface tension	Felületi feszültség
Surgeon	Sebészet
Surgery	Sebészet
Surgery	Kategória:Sebészet
Suriname	Suriname
Suriname	Kategória:Suriname
Surrealism	Szürrealizmus
Susan Sontag	Susan Sontag
Suva	Suva
Svalbard	Spitzbergák
Swallow	Fecskefélék
Swan	Cygnus (madárnem)
Swastika	Szvasztika
Swaziland	Szváziföld
Swaziland	Kategória:Szváziföld
Sweden	Svédország
Sweden	Kategória:Svédország
Swedish krona	Svéd korona
Swimming	Úszás
Swimming	Kategória:Úszás
Swiss franc	Svájci frank
Swiss people	Kategória:Svájciak
Switzerland	Svájc
Switzerland	Kategória:Svájc
Sword	Kard
Sydney	Sydney
Syllable	Szótag
Sylvia Plath	Sylvia Plath
Symbiosis	Szimbiózis
Symbol	Szimbólum
Symphony	Szimfónia
Symptom	Tünet
Synagogue	Zsinagóga
Synesthesia	Szinesztézia
Synonym	Szinonímia
Syntax	Szintaxis
Synthesizer	Szintetizátor
Syphilis	Szifilisz
Syracuse	Siracusa
Syria	Szíria
System	Rendszer
T	T
T. E. Lawrence	Thomas Edward Lawrence
T. S. Eliot	T. S. Eliot
Table (furniture)	Asztal
Table tennis	Asztalitenisz
Taboo	Tabu
Tacitus	Tacitus
Taekwondo	Taekwondo
Tagus	Tajo
Tahiti	Tahiti
Tai chi chuan	Taijiquan
Taipei	Tajpej
Taiwan	Kategória:Tajvan
Taj Mahal	Tádzs Mahal
Tajikistan	Tádzsikisztán
Tajikistan	Kategória:Tádzsikisztán
Talc	Zsírkő
Taliban	Tálibok
Tallahassee	Tallahassee
Tallinn	Tallinn
Talmud	Talmud
Tamil Nadu	Tamilnádu
Tampa	Tampa
Tampere	Tampere
Tanakh	Tanakh
Tang Dynasty	Tang-dinasztia
Tango (dance)	Tangó
Tank	Harckocsi
Tantalum	Tantál
Tanzania	Tanzánia
Tanzania	Kategória:Tanzánia
Taoism	Taoizmus
Tapir	Tapírfélék
Tardigrade	Medveállatkák
Tarragon	Tárkony
Tartu	Tartu
Tashkent	Taskent
Tasmania	Tasmánia
Tasmanian Devil	Erszényes ördög
Tattoo	Tetoválás
Tau	Tau
Taurus (constellation)	Bika csillagkép
Tawny Owl	Macskabagoly
Tax	Adó
Taxonomy	Rendszertan
Taxus baccata	Tiszafa
Tbilisi	Tbiliszi
Tea	Tea
Tea	Kategória:Tea
Technetium	Technécium
Techno	Techno
Technology	Technológia
Technology	Kategória:Technika
Tegucigalpa	Tegucigalpa
Tehran	Teherán
Tel Aviv	Tel-Aviv
Telecommunication	Távközlés
Telegraphy	Távíró
Telephone	Telefon
Telescope	Távcső
Telescopium	Távcső csillagkép
Television	Televízió
Television	Kategória:Televízió
Tellurium	Tellúr
Temperature	Hőmérséklet
Temple	Templom
Temple of Artemis	Epheszoszi Artemisz-templom
Ten Commandments	Tízparancsolat
Tenerife	Tenerife
Tennessee	Tennessee
Tennessee	Kategória:Tennessee
Tennis	Tenisz
Tennis	Kategória:Tenisz
Tenor	Tenor
Tenzing Norgay	Tenzing Norgay
Tequila	Tequila
Terbium	Terbium
Termite	Termeszek
Terpsichore	Terpszikhoré
Terrorism	Terror
Terrorism	Kategória:Terrorizmus
Tertullian	Tertullianus
Tesla (unit)	Tesla
Tethys (moon)	Tethys (hold)
Tethys (mythology)	Téthüsz
Tetrahydrocannabinol	Tetrahidrokannabinol
Tetrapod	Négylábúak
Texas	Texas
Texas	Kategória:Texas
Thailand	Thaiföld
Thailand	Kategória:Thaiföld
Thales	Thalész
Thalia	Thaleia
Thallium	Tallium
Thanatos	Thanatosz
Thanksgiving	Hálaadás
Thanksgiving (Canada)	Hálaadás (Thanksgiving)
Thanksgiving (United States)	Hálaadás (Thanksgiving)
Thanksgiving (disambiguation)	Hálaadás (Thanksgiving)
The Gambia	Gambia
The Gambia	Kategória:Gambia
The Hague	Hága
The Star-Spangled Banner	Az Amerikai Egyesült Államok himnusza
Theatre	Színház
Theatre	Kategória:Színházművészet
Thebe (moon)	Thébé (hold)
Thebes	Thébai
Thebes	Théba
Theia	Theia (mitológia)
Themistocles	Themisztoklész
Theocracy	Teokrácia
Theodolite	Teodolit
Theodore Roosevelt	Theodore Roosevelt
Theodosius I	I. Theodosius
Theology	Teológia
Theology	Kategória:Teológia
Theory of relativity	Relativitáselmélet
Theravada	Théraváda buddhizmus
Thermodynamics	Termodinamika
Thermometer	Hőmérő
Theseus	Thészeusz
Thessaloniki	Theszaloníki
Thessaly	Thesszália
Theta	Théta
Thiamine	Tiamin
Think tank	Agytröszt
Third World	Harmadik világ
Thirty Years' War	Harmincéves háború
Thomas Aquinas	Aquinói Szent Tamás
Thomas Edison	Thomas Alva Edison
Thomas Hobbes	Thomas Hobbes
Thomas Jefferson	Thomas Jefferson
Thomas Malthus	Thomas Malthus
Thomas Mann	Thomas Mann
Thomas More	Morus Tamás
Thomas Paine	Thomas Paine
Thomas Young (scientist)	Thomas Young
Thor	Thor
Thorium	Tórium
Thought	Szellem
Thrace	Thrakia
Thucydides	Thuküdidész
Thulium	Túlium
Thuringia	Türingia
Thuringia	Kategória:Türingia
Thursday	Csütörtök
Thyme	Kakukkfű
Thymine	Timin
Tianjin	Tianjin
Tiber	Tevere
Tiberius	Tiberius
Tibet	Tibet
Tibet	Kategória:Tibet
Tide	Árapály
Tierra del Fuego	Tűzföld
Tiger	Tigris
Time	Idő
Time	Kategória:Idő
Time (magazine)	Time magazin
Time zone	Időzóna
Timur	Timur Lenk
Tin	Ón
Tirana	Tirana
Tit (bird)	Cinegefélék
Titan (disambiguation)	Titán
Titan (moon)	Titán (hold)
Titan (mythology)	Titán (mitológia)
Titanic (disambiguation)	Titanic (egyértelműsítő lap)
Titanium	Titán (elem)
Titian	Tiziano Vecellio
Titus	Titus
Tivoli	Tivoli
Tobacco	Dohány
Togo	Togo
Togo	Kategória:Togo
Tokyo	Tokió
Toluene	Toluol
Tom Hanks	Tom Hanks
Tom and Jerry	Tom és Jerry
Tomato	Paradicsom (növény)
Tonga	Tonga
Tongue	Nyelv (testrész)
Toni Morrison	Toni Morrison
Tony Blair	Tony Blair
Tool	Szerszám
Tooth	Fog
Toothbrush	Fogkefe
Topaz	Topáz
Topology	Kategória:Topológia
Torah	Tóra
Tornado	Tornádó
Toronto	Toronto
Torpedo	Torpedó
Torque	Nyomaték
Tortoise	Szárazfölditeknős-félék
Torus	Tórusz
Toulouse	Toulouse
Tour de France	Tour de France
Tourism	Turizmus
Tourism	Kategória:Turizmus
Tours	Tours
Tower	Torony
Tower of Babel	Bábel tornya
Tower of London	Londoni Tower
Town	Város
Toyota	Toyota
Tractor	Mezőgazdasági vontató
Trade	Kereskedelem
Trade union	Szakszervezet
Trademark	védjegy
Tradition	Hagyomány
Tragedy	Tragédia
Train	Vonat
Train station	Vasútállomás
Trajan	Traianus
Tram	Villamos
Transcendental number	Transzcendens szám
Transformer	Transzformátor
Transistor	Tranzisztor
Transliteration	Átírás (nyelvészet)
Transmission Control Protocol	Transmission Control Protocol
Transportation	Kategória:Közlekedés
Transylvania	Erdély
Trapezoid	Trapéz
Treaty	Nemzetközi szerződés
Tree	Fa
Triangle	Háromszög
Triangulum	Háromszög csillagkép
Triangulum Australe	Déli Háromszög csillagkép
Triassic	Triász
Triceratops	Triceratops
Trier	Trier
Trigonometric function	trigonometrikus függvények
Trigonometry	Trigonometria
Trilobite	Trilobiták
Trilogy	Trilógia
Trinidad and Tobago	Trinidad és Tobago
Trinidad and Tobago	Kategória:Trinidad és Tobago
Trinitrotoluene	Trinitrotoluol
Trinity	Szentháromság
Tripoli	Tripoli
Tritium	Trícium
Triton (moon)	Triton (hold)
Triton (mythology)	Tritón
Triumphal arch	Diadalív
Trojan Horse	Trójai faló
Trojan War	Trójai háború
Trojan horse (computing)	Trójai program
Troll	Troll
Trolleybus	Trolibusz
Trombone	Harsona
Trondheim	Trondheim
Tropic of Cancer	Ráktérítő
Tropic of Capricorn	Baktérítő
Tropics	Trópusok
Troposphere	Troposzféra
Trotskyism	Trockizmus
Troy	Trója
Truck	Tehergépkocsi
Truman Doctrine	Truman-doktrína
Trumpet	Trombita
Truth	Igazság
Tsar	Cár
Tsunami	Cunami
Tuareg	Tuaregek
Tuba	Tuba (hangszer)
Tuberculosis	Tuberkulózis
Tucana	Tukán csillagkép
Tuesday	Kedd
Tulip	Tulipán
Tundra	Tundra
Tungsten	Volfrám
Tunicate	Előgerinchúrosok
Tunis	Tunisz
Tunisia	Tunézia
Tunisia	Kategória:Tunézia
Tunnel	Alagút
Turin	Torino
Turing machine	Turing-gép
Turkey	Törökország
Turkey	Kategória:Törökország
Turkmenistan	Türkmenisztán
Turmeric	Kurkuma
Turtle	Teknősök
Tuscany	Toszkána
Tuvalu	Tuvalu
Tuvalu	Kategória:Tuvalu
Tux	Tux
Tycho Brahe	Tycho Brahe
Typewriter	Írógép
Typhon	Tüphón
Typography	Tipográfia
Typography	Kategória:Tipográfia
Tyrannosaurus	Tyrannosaurus
Tyrrhenian Sea	Tirrén-tenger
U	U
UNESCO	UNESCO
Ufa	Ufa
Uganda	Uganda
Uganda	Kategória:Uganda
Ukraine	Ukrajna
Ukraine	Kategória:Ukrajna
Ulan Bator	Ulánbátor
Ultrasound	Ultrahang
Ultraviolet	Ultraibolya sugárzás
Ulysses S. Grant	Ulysses S. Grant
Umbria	Umbria
Uncertainty principle	Határozatlansági reláció
Unemployment	Munkanélküliség
Unicorn	Egyszarvú
Unidentified flying object	UFO
Uniform Resource Locator	Webcím
Union (set theory)	Unió (halmazelmélet)
United Arab Emirates	Egyesült Arab Emírségek
United Arab Emirates	Kategória:Arab Emírségek
United Kingdom	Egyesült Királyság
United Kingdom	Kategória:Egyesült Királyság
United Nations	Egyesült Nemzetek Szervezete
United Nations	Kategória:ENSZ
United Nations Children's Fund	UNICEF
United States	Amerikai Egyesült Államok
United States	Kategória:USA
United States Air Force	Az Amerikai Egyesült Államok Légiereje
United States Congress	Az Egyesült Államok Kongresszusa
United States Constitution	Az Amerikai Egyesült Államok alkotmánya
United States House of Representatives	Az Egyesült Államok képviselőháza
United States Navy	Az Amerikai Egyesült Államok Haditengerészete
United States Senate	Az Egyesült Államok szenátusa
United States Virgin Islands	Amerikai Virgin-szigetek
United States dollar	Amerikai dollár
Universe	Világegyetem
University	Egyetem
University of Chicago	Chicagói Egyetem
Unix	Unix
Unix	Kategória:Unix
Ununbium	Ununbium
Ununhexium	Ununhexium
Ununpentium	Ununpentium
Ununquadium	Ununquadium
Ununtrium	Ununtrium
Upanishad	Upanisadok
Uppsala	Uppsala
Upsilon	Üpszilon
Ur	Ur
Uracil	Uracil
Ural Mountains	Urál (hegység)
Urania	Uránia
Uranium	Urán
Uranus	Uránusz
Uranus (mythology)	Uranosz
Urdu	Urdu nyelv
Urea	Karbamid
Urine	Vizelet
Ursa Major	Nagy Medve csillagkép
Ursa Minor	Kis Medve csillagkép
Uruguay	Uruguay
Uruguay	Kategória:Uruguay
Utah	Utah
Utah	Kategória:Utah
Uterus	Méh (szerv)
Utilitarianism	Haszonelvűség
Utopia	Utópia
Utrecht (city)	Utrecht
Uzbekistan	Üzbegisztán
Uzbekistan	Kategória:Üzbegisztán
V	V
Vacuum	Vákuum
Vaduz	Vaduz
Valence	Valence
Valencia	Valencia (Spanyolország)
Valencia	Valencia
Valentina Tereshkova	Valentyina Vlagyimirovna Tyereskova
Valentine's Day	Szent Bálint
Valhalla	Valhalla
Valkyrie	Valkűr
Valletta	Valletta
Vampire	Vámpír
Vanadium	Vanádium
Vancouver	Vancouver
Vandalism	Rongálás
Vanuatu	Vanuatu
Vanuatu	Kategória:Vanuatu
Varna	Várna
Vascular plant	Szövetes növények
Vatican City	Vatikán
Vatican City	Kategória:Vatikán
Vector (spatial)	Vektor
Vegetable	Zöldség
Vegetarianism	Vegetarianizmus
Vein	Véna
Vela (constellation)	Vitorla csillagkép
Velociraptor	Velociraptor
Velocity	Sebesség
Veneto	Veneto
Venezuela	Venezuela
Venezuela	Kategória:Venezuela
Venice	Velence
Venus	Vénusz
Venus (mythology)	Venus
Verb	Ige
Vermont	Vermont
Verona	Verona
Vertebra	Gerinc
Vertebrate	Gerincesek
Vespasian	Vespasianus
Vesta (mythology)	Vesta
Victor Hugo	Victor Hugo
Video game	Videojáték
Vienna	Bécs
Vienna	Kategória:Bécs
Vientiane	Vientián
Vietnam	Vietnam
Vietnam	Kategória:Vietnam
Vietnam War	Vietnami háború
Vietnam War	Kategória:Vietnami háború
Viking	Vikingek
Village	Falu
Vilnius	Vilnius
Vincent van Gogh	Vincent van Gogh
Vincenzo Bellini	Vincenzo Bellini
Viola	Brácsa
Violence	Erőszak
Violin	Hegedű
Virgil	Vergilius
Virginia	Virginia
Virginia Woolf	Virginia Woolf
Virgo (constellation)	Szűz csillagkép
Virtual memory	Virtuális memória
Virus	Vírus
Viscosity	Viszkozitás
Vishnu	Visnu
Vistula	Visztula
Vitamin	Vitamin
Vittorio De Sica	Vittorio De Sica
Vitus Bering	Vitus Bering
Vivien Leigh	Vivien Leigh
Vladimir Lenin	Vlagyimir Iljics Lenin
Vladimir Nabokov	Vladimir Nabokov
Vladimir Putin	Vlagyimir Vlagyimirovics Putyin
Vladivostok	Vlagyivosztok
Vocative case	Megszólító eset
Vodka	Vodka
Volans	Repülőhal csillagkép
Volcano	Vulkán
Volga River	Volga
Volgograd	Volgográd
Volleyball	Röplabda
Volleyball	Kategória:Röplabda
Volt	Volt
Voltaire	Voltaire
Volume	Térfogat
Vowel	Magánhangzó
Vulgar Latin	Vulgáris latin
Vulgate	Vulgata
Vulpecula	Kis Róka csillagkép
W	W
W. Somerset Maugham	William Somerset Maugham
WYSIWYG	WYSIWYG
Wahhabism	Vahhábita
Wake Island	Wake-sziget
Wales	Wales
Wales	Kategória:Wales
Walnut	Dió
Walrus	Rozmár
Walt Disney	Walt Disney
Walt Whitman	Walt Whitman
Walter Gropius	Walter Gropius
Walter Scott	Walter Scott
War	Háború
War	Kategória:Háborúk
War of the Spanish Succession	Spanyol örökösödési háború
Wars of the Roses	Rózsák háborúja
Warsaw	Varsó
Wart	Szemölcs
Washington	Washington, D.C.
Washington	Washington (állam)
Washington	Kategória:Washington állam
Washington (disambiguation)	Washington
Wassily Kandinsky	Vaszilij Kandinszkij
Waste	Hulladék
Water	Víz
Water	Kategória:Víz
Water polo	Vízilabda
Watergate scandal	Watergate-botrány
Watermelon	Görögdinnye
Watt	Watt (mértékegység)
Wave	Hullám
Wavelength	Hullámhossz
Wax	Viasz
Weak interaction	Gyenge kölcsönhatás
Weapon	Fegyver
Weather	Időjárás
Web browser	Webböngésző
Web page	Weblap
Wednesday	Szerda
Week	Hét (naptár)
Weight	Súly
Weimar	Weimar
Welding	Hegesztés
Wellington	Wellington
Wernher von Braun	Wernher von Braun
Weser River	Weser
West Africa	Nyugat-Afrika
West Bank	Ciszjordánia
West Bengal	Nyugat-Bengália
West Berlin	Nyugat-Berlin
West Germany	Nyugat-Németország
West Virginia	Nyugat-Virginia
Western Roman Empire	Nyugatrómai Birodalom
Western Sahara	Nyugat-Szahara
Western Sahara	Kategória:Nyugat-Szahara
Westminster Abbey	Westminster-apátság
Whale	Bálna
Wheat	Búza
Wheel	Kerék
White House	Fehér Ház
White blood cell	Fehérvérsejt
White dwarf	Fehér törpe
Wicca	Wicca
Wiesbaden	Wiesbaden
Wildcat	Vadmacska
Will (law)	Végrendelet
William Blake	William Blake
William Butler Yeats	William Butler Yeats
William Faulkner	William Faulkner
William Gladstone	William Gladstone
William Golding	William Golding
William Harvey	William Harvey
William Henry Harrison	William Henry Harrison
William Herschel	William Herschel
William I	I. Vilmos német császár
William II	II. Vilmos német császár
William McKinley	William McKinley
William Rowan Hamilton	William Rowan Hamilton
William Shakespeare	William Shakespeare
William Wordsworth	William Wordsworth
William of Ockham	William Ockham
Willow	Fűzfa
Wind instrument	Fúvós hangszerek
Wind power	Szélenergia
Windhoek	Windhoek
Window	Ablak
Wine	Bor
Wine	Kategória:Bor
Winnipeg	Winnipeg
Winston Churchill	Winston Churchill
Winter	Tél
Winter Olympic Games	Kategória:Téli olimpiai játékok
Wisconsin	Wisconsin
Wolfgang Amadeus Mozart	Wolfgang Amadeus Mozart
Wolfgang Pauli	Wolfgang Pauli
Woman	Nő
Wood	Fa (anyag)
Woodrow Wilson	Woodrow Wilson
Woodwind instrument	Fafúvós hangszerek
Woody Allen	Woody Allen
Word	Szó (nyelvészet)
Word processor	Dokumentumszerkesztő
World Bank	Világbank
World Health Organization	Egészségügyi Világszervezet
World Meteorological Organization	Meteorológiai Világszervezet
World Trade Center	Világkereskedelmi Központ
World Trade Organization	Kereskedelmi Világszervezet
World War I	Első világháború
World War I	Kategória:I. világháború
World War II	Második világháború
World War II	Kategória:II. világháború
World Wide Web	Világháló
World war	Világháború
Writer	Író
Wyoming	Wyoming
Wyoming	Kategória:Wyoming
X	X
X-ray	Röntgensugárzás
Xenarthra	Vendégízületesek
Xenon	Xenon
Xenophanes	Kolophóni Xenophanész
Xenophobia	Xenofóbia
Xenophon	Xenophón
Xi	Kszi
Xinjiang	Xinjiang
Y	Y
Yahweh	Jahve
Yak	Jak
Yakuza	Jakuza
Yangtze River	Jangce
Yard	Yard
Yasser Arafat	Jasszer Arafat
Year	Év
Years	Kategória:Évek
Yeast	Élesztő
Yellow	Sárga
Yellow River	Sárga-folyó
Yellow Sea	Sárga-tenger
Yellowstone National Park	Yellowstone Nemzeti Park
Yemen	Jemen
Yemen	Kategória:Jemen
Yenisei River	Jenyiszej
Yerevan	Jereván
Yeti	Jeti
Yggdrasil	Yggdrasil
Yo-yo	Jojó
Yoga	Jóga
Yoko Ono	Yoko Ono
Yokohama	Jokohama
Yom Kippur	Jom kippur
Yom Kippur War	Jom kippuri háború
Yosemite National Park	Yosemite Nemzeti Park
Young's modulus	Rugalmassági modulus
Ytterbium	Itterbium
Yttrium	Ittrium
Yugoslavia	Jugoszlávia
Yugoslavia	Kategória:Jugoszlávia
Yunnan	Yunnan
Yuri Gagarin	Jurij Alekszejevics Gagarin
Z	Z
Zagreb	Zágráb
Zambezi	Zambézi
Zambia	Zambia
Zambia	Kategória:Zambia
Zanzibar	Zanzibár
Zaragoza	Zaragoza
Zealand	Sjælland
Zen	Zen
Zenith	Zenit
Zeno (emperor)	Zénón bizánci császár
Zeno of Citium	Kitioni Zénón
Zeno of Elea	Eleai Zénón
Zeta	Dzéta
Zeus	Zeusz
Zeus (disambiguation)	Zeusz
Ziggurat	Zikkurat
Zimbabwe	Zimbabwe
Zimbabwe	Kategória:Zimbabwe
Zinc	Cink
Zionism	Cionizmus
Zirconium	Cirkónium
Zombie	Zombi
Zoo	Állatkert
Zoology	Zoológia
Zoology	Kategória:Zoológia
Zoroaster	Zarathusztra
Zoroastrianism	Zoroasztrizmus
