Polish	English
Gabon	Gabon
Kategoria:Gabon	Gabon
Gaborone	Gaborone
Archanioł Gabriel	Gabriel
Gabriel Lippmann	Gabriel Lippmann
Gadolin	Gadolinium
Gaetano Donizetti	Gaetano Donizetti
Gaja (mitologia)	Gaia (mythology)
Galacja	Galatia
Galaktyka	Galaxy
Galen	Galen
Galena	Galena
Galicja	Galicia (Central Europe)
Galicia	Galicia (Spain)
Galilea	Galilee
Galileo (sonda)	Galileo (spacecraft)
Galileusz	Galileo Galilei
Pęcherzyk żółciowy	Gallbladder
Galera	Galley
Grzebiące	Galliformes
Kategoria:Grzebiące	Galliformes
Gal	Gallium
Galon (miara)	Gallon
Galway	Galway
Gamal Abdel Naser	Gamal Abdel Nasser
Gry hazardowe	Gambling
Gra	Game
Teoria gier	Game theory
Gamma	Gamma
Promieniowanie gamma	Gamma ray
Ganeśa	Ganesha
Ganges	Ganges
Gandża	Ganja
Gansu	Gansu
Ganimedes (mitologia)	Ganymede
Ganimedes (księżyc)	Ganymede (moon)
Gap	Gap
Sad	Garden
Eden (raj)	Garden of Eden
Ogrodnictwo	Gardening
Garfield	Garfield
Rzygacz	Gargoyle
Czosnek pospolity	Garlic
Granat (minerał)	Garnet
Garonna	Garonne
Gaz	Gas
Stała gazowa	Gas constant
Gazowy olbrzym	Gas giant
Benzyna	Gasoline
Układ pokarmowy człowieka	Gastrointestinal tract
Ślimaki	Gastropoda
Galia	Gaul
Budda Siakjamuni	Gautama Buddha
Gej	Gay
Gaza (Palestyna)	Gaza
Strefa Gazy	Gaza Strip
Koło zębate	Gear
Geb	Geb
Gejsza	Geisha
Bliźnięta (gwiazdozbiór)	Gemini (constellation)
Kamienie szlachetne	Gemstone
Gen	Gene
Genealogia	Genealogy
Kategoria:Genealogia	Genealogy
GATT	General Agreement on Tariffs and Trade
Generał	General Officer
Ogólna teoria względności	General relativity
Księga Rodzaju	Genesis
Kod genetyczny	Genetic code
Inżynieria genetyczna	Genetic engineering
Genetyka	Genetics
Kategoria:Genetyka	Genetics
Genewa	Geneva
Dopełniacz (przypadek)	Genitive case
Genua	Genoa
Ludobójstwo	Genocide
Genom	Genome
Genotyp	Genotype
Rodzaj (biologia)	Genus
Geochemia	Geochemistry
Geodezja	Geodesy
Kategoria:Geodezja	Geodesy
Geoffrey Chaucer	Geoffrey Chaucer
Geografia	Geography
Kategoria:Geografia	Geography
Portal:Geografia	Geography
Kategoria:Geologia	Geology
Geologia	Geology
Szereg geometryczny	Geometric progression
Geometria	Geometry
Kategoria:Geometria	Geometry
Geomorfologia	Geomorphology
Kategoria:Geomorfologia	Geomorphology
Geofizyka	Geophysics
Kategoria:Geofizyka	Geophysics
Geopolityka	Geopolitics
Georg Philipp Telemann	Georg Philipp Telemann
Georg Wilhelm Friedrich Hegel	Georg Wilhelm Friedrich Hegel
George Berkeley	George Berkeley
George Bernard Shaw	George Bernard Shaw
George Boole	George Boole
George Bush	George Bush
Georg Friedrich Händel	George Frideric Handel
George Gershwin	George Gershwin
George Harrison	George Harrison
George Lucas	George Lucas
George Marshall	George Marshall
George Orwell	George Orwell
George Thomson	George Paget Thomson
George Sand	George Sand
George Stephenson	George Stephenson
George W. Bush	George W. Bush
George Washington	George Washington
Georges Bizet	Georges Bizet
Georges Braque	Georges Braque
Georges Clemenceau	Georges Clemenceau
Georges Simenon	Georges Simenon
Georgetown (Gujana)	Georgetown
Georgia	Georgia (U.S. state)
Kategoria:Georgia	Georgia (U.S. state)
Gruzja	Georgia (country)
Kategoria:Gruzja	Georgia (country)
Gerald Ford	Gerald Ford
Gerard Kuiper	Gerard Kuiper
Owczarek niemiecki	German Shepherd Dog
Język niemiecki	German language
Kategoria:Język niemiecki	German language
Marka niemiecka	German mark
German	Germanium
Niemcy	Germany
Kategoria:Niemcy	Germany
Geronimo (wódz Indian Chiricahua)	Geronimo
Gestapo	Gestapo
Gejzer	Geyser
Ghana	Ghana
Kategoria:Ghana	Ghana
Gandawa	Ghent
Getto	Ghetto
Duch (spirytyzm)	Ghost
Giacomo Puccini	Giacomo Puccini
Panda wielka	Giant Panda
Gibonowate	Gibbon
Gibraltar	Gibraltar
Kategoria:Gibraltar	Gibraltar
Gigabajt	Gigabyte
Gilgamesz	Gilgamesh
Imbir lekarski	Ginger
Miłorząb dwuklapowy	Ginkgo
Giordano Bruno	Giordano Bruno
Giorgio Vasari	Giorgio Vasari
Giorgio de Chirico	Giorgio de Chirico
Giotto di Bondone	Giotto di Bondone
Giovanni Boccaccio	Giovanni Boccaccio
Żyrafa	Giraffe
Żyrafowate	Giraffidae
Girolamo Savonarola	Girolamo Savonarola
Gironde	Gironde
Giuseppe Garibaldi	Giuseppe Garibaldi
Giuseppe Verdi	Giuseppe Verdi
Giza	Giza
Lodowiec	Glacier
Gladiator	Gladiator
Gruczoł	Gland
Glasgow	Glasgow
Głasnost	Glasnost
Szkło	Glass
Okulary korekcyjne	Glasses
Szybowiec	Glider
Global Positioning System	Global Positioning System
Globalne ocieplenie	Global warming
Globalizacja	Globalization
Karczoch zwyczajny	Globe artichoke
Gloucestershire	Gloucestershire
Glukagon	Glucagon
Glukoza	Glucose
Gluon	Gluon
Kwas glutaminowy	Glutamic acid
Gliceryna	Glycerol
Glicyna	Glycine
Glikogen	Glycogen
Glikoliza	Glycolysis
Żuchwowce	Gnathostomata
Gnejs	Gneiss
Gnostycyzm	Gnosticism
Go	Go (board game)
Goa	Goa
Bramkarz	Goalkeeper
Koza domowa	Goat
Gobi	Gobi Desert
Bóg	God
Wzgórza Golan	Golan Heights
Złoto	Gold
Golda Meir	Golda Meir
Orzeł przedni	Golden Eagle
Most Golden Gate	Golden Gate Bridge
Złota Orda	Golden Horde
Golden Retriever	Golden Retriever
Golf	Golf
Kategoria:Golf	Golf
Aparat Golgiego	Golgi apparatus
Homel	Gomel
Wielki Piątek	Good Friday
Google	Google
Kategoria:Google	Google
Googol	Googol
Gorgona (postać mitologiczna)	Gorgon
Goryl	Gorilla
Jastrząb gołębiarz	Goshawk
Ewangelia	Gospel
Ewangelia Łukasza	Gospel of Luke
Göteborg	Gothenburg
Gothic	Gothic
Architektura gotycka	Gothic architecture
Gotthold Ephraim Lessing	Gotthold Ephraim Lessing
Gottlieb Daimler	Gottlieb Daimler
Dna moczanowa	Gout
Rada Ministrów	Government
Grace Kelly	Grace Kelly
Gradient (matematyka)	Gradient
Graffiti	Graffiti
Graham Greene (pisarz)	Graham Greene
Gram	Gram
Gramatyka	Grammar
Kategoria:Gramatyka	Grammar
Rodzaj gramatyczny	Grammatical gender
Granada (miasto w Hiszpanii)	Granada
Wielki Kanion Kolorado	Grand Canyon
Wielki Szlem (tenis)	Grand Slam (tennis)
Arcymistrz	Grandmaster (chess)
Granit	Granite
Winorośl	Grape
Grejpfrut	Grapefruit
Interfejs graficzny	Graphical user interface
Grafit	Graphite
Grawitacja	Gravitation
Stała grawitacji	Gravitational constant
Grawiton	Graviton
Grej	Gray (unit)
Wilk	Gray Wolf
Graz	Graz
Wielka Rafa Koralowa	Great Barrier Reef
Wielka Brytania (wyspa)	Great Britain
Perkoz dwuczuby	Great Crested Grebe
Wielki kryzys	Great Depression
Wielkie Jeziora Północnoamerykańskie	Great Lakes
Wielkie Rowy Afrykańskie	Great Rift Valley
Wielki Mur Chiński	Great Wall of China
Żarłacz biały	Great white shark
Wielkie Antyle	Greater Antilles
Wielki Londyn	Greater London
Największy wspólny dzielnik	Greatest common divisor
Perkozy	Grebe
Grecja	Greece
Kategoria:Grecja	Greece
Alfabet grecki	Greek alphabet
Kategoria:Alfabet grecki	Greek alphabet
Ogień grecki	Greek fire
Mitologia grecka	Greek mythology
Kategoria:Mitologia grecka	Greek mythology
Barwa zielona	Green
Szklarnia (ogrodnictwo)	Greenhouse
Efekt cieplarniany	Greenhouse effect
Gaz cieplarniany	Greenhouse gas
Grenlandia	Greenland
Kategoria:Grenlandia	Greenland
Morze Grenlandzkie	Greenland Sea
Greenpeace	Greenpeace
Greenwich	Greenwich
Czas uniwersalny	Greenwich Mean Time
Gregor Mendel	Gregor Mendel
Kalendarz gregoriański	Gregorian calendar
Kategoria:Grenada	Grenada
Grenoble	Grenoble
Greta Garbo	Greta Garbo
Szary	Grey
Gęś gęgawa	Greylag Goose
Gryf (mitologia)	Griffin
Sęp płowy	Griffon Vulture
Produkt krajowy brutto	Gross domestic product
Grupa	Group
Grupa (matematyka)	Group (mathematics)
Grupa układu okresowego	Group (periodic table)
Teoria grup	Group theory
Grover Cleveland	Grover Cleveland
Grozny	Grozny
Żurawiowe	Gruiformes
Żuraw (gwiazdozbiór)	Grus (constellation)
Guadalajara (miasto w Meksyku)	Guadalajara
Gwadelupa	Guadeloupe
Guam	Guam
Guangdong	Guangdong
Kanton (Chiny)	Guangzhou
Guanina	Guanine
Guano	Guano
Kategoria:Gwatemala	Guatemala
Gwatemala (miasto)	Guatemala City
Guayaquil	Guayaquil
Guernsey	Guernsey
Guglielmo Marconi	Guglielmo Marconi
Gildia (historia)	Guild
Guillaume Apollinaire	Guillaume Apollinaire
Gilotyna	Guillotine
Gwinea	Guinea
Kategoria:Gwinea	Guinea
Świnka morska	Guinea pig
Gwinea Bissau	Guinea-Bissau
Kategoria:Gwinea Bissau	Guinea-Bissau
Gitara	Guitar
Gujarat	Gujarat
Gułag	Gulag
Prąd Zatokowy	Gulf Stream
I wojna w Zatoce Perskiej	Gulf War
Zatoka Adeńska	Gulf of Aden
Zatoka Akaba	Gulf of Aqaba
Zatoka Botnicka	Gulf of Bothnia
Zatoka Fińska	Gulf of Finland
Zatoka Gwinejska	Gulf of Guinea
Zatoka Meksykańska	Gulf of Mexico
Zatoka Omańska	Gulf of Oman
Zatoka Ryska	Gulf of Riga
Zatoka Tajlandzka	Gulf of Thailand
Mewy	Gull
Proch	Gunpowder
Spisek prochowy	Gunpowder Plot
Gupik	Guppy
Gustav Klimt	Gustav Klimt
Gustav Ludwig Hertz	Gustav Ludwig Hertz
Gustav Mahler	Gustav Mahler
Gustave Courbet	Gustave Courbet
Gustaw Flaubert	Gustave Flaubert
Guy Fawkes	Guy Fawkes
Guy de Maupassant	Guy de Maupassant
Kategoria:Gujana	Guyana
Gimnastyka	Gymnastics
Nagonasienne	Gymnosperm
Ginekologia	Gynaecology
Gips	Gypsum
Żyroskop	Gyroscope
H	H
Herbert George Wells	H. G. Wells
Wirus zespołu nabytego braku odporności	HIV
HTML	HTML
Siedlisko (biologia)	Habitat
Haker (slang komputerowy)	Hacker
Hadeik	Hadean
Hades	Hades
Hadis	Hadith
Hadrian	Hadrian
Mur Hadriana	Hadrian's Wall
Hadron	Hadron
Hemofilia	Haemophilia
Hafn	Hafnium
Hagia Sofia	Hagia Sophia
Hajfa	Haifa
Haiku	Haiku
Grad	Hail
Zdrowaś Maryjo	Hail Mary
Włos	Hair
Haiti	Haiti
Kategoria:Haiti	Haiti
Pielgrzymki w islamie	Hajj
Halal	Halal
Halabarda	Halberd
Czas połowicznego rozpadu	Half-life
Halle (Saale)	Halle
Halloween	Halloween
Halucynacja	Hallucination
Fluorowce	Halogen
Hamas	Hamas
Hamburg	Hamburg
Kategoria:Hamburg	Hamburg
Hamburger	Hamburger
Hamlet	Hamlet
Młotek	Hammer
Sierp i młot	Hammer and sickle
Hammurabi	Hammurabi
Hampshire (Anglia)	Hampshire
Chomik	Hamster
Dynastia Han	Han Dynasty
Dłoń	Hand
Granat (broń)	Hand grenade
Pistolet	Handgun
Powieszenie	Hanging
Wiszące ogrody Semiramidy	Hanging Gardens of Babylon
Hannah Arendt	Hannah Arendt
Hannibal	Hannibal
Hanoi	Hanoi
Hanower	Hanover
Hans Bethe	Hans Bethe
Hans Christian Andersen	Hans Christian Andersen
Hanza	Hanseatic League
Chanuka	Hanukkah
Hanuman	Hanuman
Szczęście	Happiness
Harare	Harare
Twardość	Hardness
Harem	Harem
Harlem (Nowy Jork)	Harlem
Harmonijka ustna	Harmonica
Harmonika (muzyka)	Harmony
Harold Pinter	Harold Pinter
Harfa	Harp
Klawesyn	Harpsichord
Harpia (mitologia)	Harpy
Harriet Beecher Stowe	Harriet Beecher Stowe
Harriet Tubman	Harriet Tubman
Harrisburg (Pensylwania)	Harrisburg
Harry Houdini	Harry Houdini
Hartford (Connecticut)	Hartford
Has	Hassium
Nienawiść	Hatred
Górna Normandia	Haute-Normandie
Hawana	Havana
Hawaje (stan w USA)	Hawaii
Kategoria:Hawaje	Hawaii
Leszczyna	Hazel
Głowa	Head
Głowa państwa	Head of state
Zdrowie	Health
Kategoria:Zdrowie	Health
Serce	Heart
Ciepło	Heat
Silnik cieplny	Heat engine
Niebo	Heaven
Kategoria:Metal	Heavy metal
Heavy metal	Heavy metal music
Ciężka woda	Heavy water
Hebe (mitologia)	Hebe (mythology)
Hebei	Hebei
Alfabet hebrajski	Hebrew alphabet
Kalendarz żydowski	Hebrew calendar
Hebrydy	Hebrides
Hekate (mitologia)	Hecate
Hektar	Hectare
Hektor	Hector
Hector Berlioz	Hector Berlioz
Jeżowate	Hedgehog
Hedonizm	Hedonism
Hajmdal	Heimdall
Heinrich Hertz	Heinrich Hertz
Heinrich Himmler	Heinrich Himmler
Heinrich Schliemann	Heinrich Schliemann
Hel (bogini)	Hel (being)
Helena Trojańska	Helen
Helen Keller	Helen Keller
Helena (Montana)	Helena
Śmigłowiec	Helicopter
Helios	Helios
Hel	Helium
Piekło	Hell
Helmut Schmidt	Helmut Schmidt
Helsinki	Helsinki
Hematyt	Hematite
Hematologia	Hematology
Kategoria:Hematologia	Hematology
Hemoglobina	Hemoglobin
Żylaki odbytu	Hemorrhoid
Henri Becquerel	Henri Becquerel
Henri Bergson	Henri Bergson
Henri Matisse	Henri Matisse
Henryk Ibsen	Henrik Ibsen
Henr	Henry (unit)
Henry Cavendish	Henry Cavendish
Henry David Thoreau	Henry David Thoreau
Henry Fonda	Henry Fonda
Henry Ford	Henry Ford
Henry James	Henry James
Henry Kissinger	Henry Kissinger
Henry Miller	Henry Miller
Henry Moore (rzeźbiarz)	Henry Moore
Henry Purcell	Henry Purcell
Zapalenie wątroby	Hepatitis
Hefajstos	Hephaestus
Hera	Hera
Herakles	Heracles
Heraklit	Heraclitus
Heraldyka	Heraldry
Kategoria:Heraldyka	Heraldry
Herāt (miasto)	Herat
Herbert Hoover	Herbert Hoover
Herbert Marcuse	Herbert Marcuse
Herbert Spencer	Herbert Spencer
Herakles	Hercules
Herkules (gwiazdozbiór)	Hercules (constellation)
Herezja	Heresy
Herman Melville	Herman Melville
Hermann Hesse	Hermann Hesse
Hermann Minkowski	Hermann Minkowski
Hermann von Helmholtz	Hermann von Helmholtz
Hermeneutyka	Hermeneutics
Hermes	Hermes
Bohater	Hero
Heron z Aleksandrii	Hero of Alexandria
Herod Wielki	Herod the Great
Herodot	Herodotus
Heroina	Heroin
Czaplowate	Heron
Mewa srebrzysta	Herring Gull
Hertfordshire	Hertfordshire
Herc	Hertz
Hezjod	Hesiod
Hesperydy	Hesperides
Hesja	Hesse
Kategoria:Hesja	Hesse
Hestia	Hestia
Heteroseksualizm	Heterosexuality
Cudzożywność	Heterotroph
Szesnastkowy system liczbowy	Hexadecimal
Sześciokąt	Hexagon
Hezbollah	Hezbollah
Sen zimowy	Hibernation
Hideki Yukawa	Hideki Yukawa
Hieronim Bosch	Hieronymus Bosch
Przestrzeń Hilberta	Hilbert space
Himalaje	Himalayas
Hindukusz	Hindu Kush
Hinduizm	Hinduism
Kategoria:Hinduizm	Hinduism
Hipparchos z Nikei	Hipparchus
Ruch hippisowski	Hippie
Hipokrates	Hippocrates
Przysięga Hipokratesa	Hippocratic Oath
Hipopotam nilowy	Hippopotamus
Hirohito	Hirohito
Hiroszima	Hiroshima
Haiti (wyspa)	Hispaniola
Histydyna	Histidine
Histologia	Histology
Kategoria:Histologia	Histology
Histony	Histone
Historiografia	Historiography
Historia	History
Kategoria:Historia	History
Portal:Historia	History
Hồ Chí Minh	Ho Chi Minh
Ho Chi Minh (miasto)	Ho Chi Minh City
Hobart	Hobart
Hobbit (rasa)	Hobbit
Hobby	Hobby
Katsushika Hokusai	Hokusai
Święto	Holiday
Hollywood	Hollywood
Holm (pierwiastek)	Holmium
Holocen	Holocene
Holografia	Holography
Graal	Holy Grail
Święte Cesarstwo Rzymskie Narodu Niemieckiego	Holy Roman Empire
Duch Święty	Holy Spirit
Homeopatia	Homeopathy
Homeostaza	Homeostasis
Homer	Homer
Człowiekowate	Hominidae
Człowiek	Homo (genus)
Homo erectus	Homo erectus
Homo habilis	Homo habilis
Homonim	Homonym
Homofobia	Homophobia
Homoseksualizm	Homosexuality
Honduras	Honduras
Kategoria:Honduras	Honduras
Miód	Honey
Trzmielojad	Honey Buzzard
Hongkong	Hong Kong
Kategoria:Hongkong	Hong Kong
Honiara	Honiara
Honolulu	Honolulu
Szisza	Hookah
Prawo Hooke'a	Hooke's law
Dudek	Hoopoe
Horacy (poeta)	Horace
Horatio Nelson	Horatio Nelson
Horyzont	Horizon
Hormon	Hormone
Róg (biologia)	Horn (anatomy)
Róg (instrument muzyczny)	Horn (instrument)
Horoskop	Horoscope
Koń	Horse
Koń parowy	Horsepower
Horus	Horus
Hosni Mubarak	Hosni Mubarak
Szpital	Hospital
Hotel	Hotel
Godzina	Hour
Klepsydra	Hourglass
Dom	House
Dr House	House (TV series)
Mysz domowa	House Mouse
Wróbel domowy	House Sparrow
Houston	Houston
Poduszkowiec	Hovercraft
Howard Carter	Howard Carter (archaeologist)
Prawo Hubble'a	Hubble's law
Zatoka Hudsona	Hudson Bay
Hudson (rzeka)	Hudson River
Hugo Kapet	Hugh Capet
Hugo Grocjusz	Hugo Grotius
Hugenoci	Huguenot
Człowiek rozumny	Human
Humanizm	Humanism
Kategoria:Nauki humanistyczne	Humanities
Kość ramienna	Humerus
Wilgotność powietrza	Humidity
Kolibry	Hummingbird
Kategoria:Humor	Humor
Humor (postać komizmu)	Humour
Humbak	Humpback Whale
Humphrey Bogart	Humphrey Bogart
Próchnica (gleba)	Humus
Hunan	Hunan
Wojna stuletnia	Hundred Years' War
Węgry	Hungary
Kategoria:Węgry	Hungary
Głód	Hunger
Polowanie	Hunting
Hutu	Hutu
Hybryda (biologia)	Hybrid
Hajdarabad (Indie)	Hyderabad
Hydra (gwiazdozbiór)	Hydra (constellation)
Węglowodór	Hydrocarbon
Kwas solny	Hydrochloric acid
Elektrownia wodna	Hydroelectricity
Wodór	Hydrogen
Wiązanie wodorowe	Hydrogen bond
Cyjanowodór	Hydrogen cyanide
Nadtlenek wodoru	Hydrogen peroxide
Hydrologia	Hydrology
Kategoria:Hydrologia	Hydrology
Hydroliza	Hydrolysis
Hydrosfera	Hydrosphere
Jon wodorotlenowy	Hydroxide
Wąż Wodny (gwiazdozbiór)	Hydrus
Hienowate	Hyena
Kategoria:Higiena	Hygiene
Błona dziewicza	Hymen
Kategoria:Błonkoskrzydłe	Hymenoptera
Błonkoskrzydłe	Hymenoptera
Hymn	Hymn
Hiperbola (matematyka)	Hyperbola
Hiperbola (teoria literatury)	Hyperbole
Hyperion (księżyc)	Hyperion (moon)
Hyperion (mitologia)	Hyperion (mythology)
Nadciśnienie tętnicze	Hypertension
Hipertekst	Hypertext
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnos	Hypnos
Hipnoza	Hypnosis
Podwzgórze	Hypothalamus
Hipoteza	Hypothesis
I	I
Ieoh Ming Pei	I. M. Pei
IPod	IPod
Ian Fleming	Ian Fleming
Japet (księżyc)	Iapetus (moon)
Japeton	Iapetus (mythology)
Półwysep Iberyjski	Iberian Peninsula
Ibuprofen	Ibuprofen
Lód	Ice
Epoka lodowa	Ice age
Lody	Ice cream
Hokej na lodzie	Ice hockey
Kategoria:Hokej na lodzie	Ice hockey
Góra lodowa	Iceberg
Islandia	Iceland
Kategoria:Islandia	Iceland
Ichtiologia	Ichthyology
Ikona	Icon
Ikonoklazm	Iconoclasm
Idaho	Idaho
Kategoria:Idaho	Idaho
Gaz doskonały	Ideal gas
Idealizm	Idealism
Element neutralny	Identity element
Macierz jednostkowa	Identity matrix
Ideologia	Ideology
Ido	Ido
Igloo	Igloo
Ignacy Loyola	Ignatius of Loyola
Skały magmowe	Igneous rock
Igor Strawiński	Igor Stravinsky
Wodospad Iguaçu	Iguazu Falls
Iliada	Iliad
Illinois	Illinois
Kategoria:Illinois	Illinois
Iliria	Illyria
Skaner	Image scanner
Imam	Imam
Immanuel Kant	Immanuel Kant
Układ odpornościowy	Immune system
Immunologia	Immunology
Kategoria:Immunologia	Immunology
Imperializm	Imperialism
Impresjonizm	Impressionism
Kazirodztwo	Incest
Cal	Inch
Inch'ŏn	Incheon
Równia pochyła	Inclined plane
Niepodległość	Independence
Indie	India
Kategoria:Indie	India
Ocean Indyjski	Indian Ocean
Kategoria:Ocean Indyjski	Indian Ocean
Indiana	Indiana
Kategoria:Indiana	Indiana
Indianapolis	Indianapolis
Indira Gandhi	Indira Gandhi
Ind	Indium
Indochiny	Indochina
Indonezja	Indonesia
Kategoria:Indonezja	Indonesia
Indra	Indra
Indukcyjność	Inductance
Rozumowanie indukcyjne	Inductive reasoning
Cewka	Inductor
Odpust	Indulgence
Indianin (gwiazdozbiór)	Indus (constellation)
Indus (rzeka)	Indus River
Rewolucja przemysłowa	Industrial Revolution
Przemysł (ekonomia)	Industry
Kategoria:Przemysł	Industry
Nierówność	Inequality
Bezwładność	Inertia
Piechota	Infantry
Choroba zakaźna	Infectious disease
Bezokolicznik	Infinitive
Nieskończoność	Infinity
Zapalenie	Inflammation
Inflacja	Inflation
Grypa	Influenza
Informacja	Information
Technologia informacyjna	Information technology
Teoria informacji	Information theory
Podczerwień	Infrared
Ingmar Bergman	Ingmar Bergman
Ingrid Bergman	Ingrid Bergman
Mongolia Wewnętrzna	Inner Mongolia
Innowacja	Innovation
Innsbruck	Innsbruck
Chemia nieorganiczna	Inorganic chemistry
Kategoria:Chemia nieorganiczna	Inorganic chemistry
Inkwizycja	Inquisition
Owady	Insect
Insektycydy	Insecticide
Owadożerne	Insectivora
Insulina	Insulin
Ubezpieczenie (ubezpieczenia)	Insurance
Liczby całkowite	Integer
Układ scalony	Integrated circuit
Prawo własności intelektualnej	Intellectual property
Inteligencja (psychologia)	Intelligence
Iloraz inteligencji	Intelligence quotient
Międzykontynentalny pocisk balistyczny	Intercontinental ballistic missile
Odsetki	Interest
Interferencja	Interference
Wykrzyknik (część mowy)	Interjection
Interlingua	Interlingua
Międzynarodowa Agencja Energii Atomowej	International Atomic Energy Agency
Organizacja Międzynarodowego Lotnictwa Cywilnego	International Civil Aviation Organization
Międzynarodowy Trybunał Sprawiedliwości	International Court of Justice
Międzynarodowa linia zmiany daty	International Date Line
Międzynarodowa Organizacja Pracy	International Labour Organization
Międzynarodowy Fundusz Walutowy	International Monetary Fund
Układ SI	International System of Units
Kategoria:Prawo międzynarodowe	International law
Organizacja międzynarodowa	International organization
Internet	Internet
Kategoria:Internet	Internet
Internet Explorer	Internet Explorer
Obóz koncentracyjny	Internment
Interpreter	Interpreter (computing)
Przekrój zbiorów	Intersection (set theory)
Interwał	Interval (music)
Jelito	Intestine
Intranet	Intranet
Wynalazek	Invention
Bezkręgowce	Invertebrate
Io (księżyc)	Io (moon)
Io (nimfa)	Io (mythology)
Jod	Iodine
Jon	Ion
Jonia	Ionia
Morze Jońskie	Ionian Sea
Wiązanie jonowe	Ionic bond
Jonosfera	Ionosphere
Jota (litera)	Iota
Iowa	Iowa
Kategoria:Iowa	Iowa
Iran	Iran
Kategoria:Iran	Iran
Wojna iracko-irańska	Iran-Iraq War
Irak	Iraq
Kategoria:Irak	Iraq
Irlandia (wyspa)	Ireland
Kategoria:Irlandia	Ireland
Ireneusz z Lyonu	Irenaeus
Iryd	Iridium
Tęczówka	Iris (anatomy)
Iris (mitologia)	Iris (mythology)
Irlandzka Armia Republikańska	Irish Republican Army
Morze Irlandzkie	Irish Sea
Kategoria:Irlandczycy	Irish people
Żelazo	Iron
Epoka żelaza	Iron Age
Żelazna kurtyna	Iron Curtain
Iron Maiden	Iron Maiden
Ironia	Irony
Liczby niewymierne	Irrational number
Irredenta	Irredentism
Irtysz	Irtysh River
Izaak (postać biblijna)	Isaac
Isaac Asimov	Isaac Asimov
Isaac Bashevis Singer	Isaac Bashevis Singer
Isaac Newton	Isaac Newton
Isadora Duncan	Isadora Duncan
Izmael (syn Abrahama)	Ishmael
Izyda	Isis
Islam	Islam
Kategoria:Islam	Islam
Islamabad	Islamabad
Kalendarz muzułmański	Islamic calendar
Wyspa	Island
Wyspa Man	Isle of Man
Kategoria:Wyspa Man	Isle of Man
Wight	Isle of Wight
Izomeria	Isomer
Isoroku Yamamoto	Isoroku Yamamoto
Izotopy	Isotope
