English	Hebrew
Geometry	קטגוריה:גאומטריה
Geomorphology	גאומורפולוגיה
Geomorphology	קטגוריה:גאומורפולוגיה
Geophysics	גאופיזיקה
Geophysics	קטגוריה:גאופיזיקה
Geopolitics	גאופוליטיקה
Georg Philipp Telemann	גאורג פיליפ טלמן
Georg Wilhelm Friedrich Hegel	גיאורג וילהלם פרידריך הגל
George Berkeley	ג'ורג' ברקלי
George Bernard Shaw	ג'ורג' ברנרד שו
George Bush	ג'ורג' בוש
George Frideric Handel	גאורג פרידריך הנדל
George Gershwin	ג'ורג' גרשווין
George Harrison	ג'ורג' האריסון
George Lucas	ג'ורג' לוקאס
George Marshall	ג'ורג' מרשל
George Orwell	ג'ורג' אורוול
George Paget Thomson	ג'ורג' פג'ט תומסון
George Sand	ז'ורז' סאנד
George Stephenson	ג'ורג' סטיבנסון
George W. Bush	ג'ורג' ווקר בוש
George Washington	ג'ורג' וושינגטון
Georges Bizet	ז'ורז' ביזה
Georges Braque	ז'ורז' בראק
Georges Clemenceau	ז'ורז' קלמנסו
Georges Simenon	ז'ורז' סימנון
Georgetown	ג'ורג'טאון (גיאנה)
Georgia (U.S. state)	ג'ורג'יה
Georgia (U.S. state)	קטגוריה:ג'ורג'יה
Georgia (country)	גאורגיה
Georgia (country)	קטגוריה:גאורגיה
Gerald Ford	ג'רלד פורד
German Shepherd Dog	רועה גרמני
German language	גרמנית
German mark	מרק גרמני
Germanium	גרמניום
Germany	גרמניה
Germany	קטגוריה:גרמניה
Geronimo	ג'רונימו
Gestapo	גסטאפו
Geyser	גייזר
Ghana	גאנה
Ghana	קטגוריה:גאנה
Ghent	גנט
Ghetto	גטו
Ghost	רוח רפאים
Giacomo Puccini	ג'אקומו פוצ'יני
Giant Panda	פנדה ענק
Gibbon	גיבונים
Gibraltar	גיברלטר
Gibraltar	קטגוריה:גיברלטר
Gilgamesh	גילגמש
Ginger	זנגביל
Ginkgo	גינקגו דו-אונתי
Giordano Bruno	ג'ורדנו ברונו
Giorgio Vasari	ג'ורג'ו וזארי
Giorgio de Chirico	ג'ורג'ו דה קיריקו
Giotto di Bondone	ג'וטו די בונדונה
Giovanni Boccaccio	ג'ובאני בוקאצ'ו
Giraffe	ג'ירף
Giraffidae	ג'ירפיים
Girolamo Savonarola	ג'ירולמו סבונרולה
Giuseppe Garibaldi	ג'וזפה גריבלדי
Giuseppe Verdi	ג'וזפה ורדי
Glacier	קרחון יבשתי
Gladiator	גלדיאטור
Gland	בלוטה
Glasgow	גלאזגו
Glasnost	גלאסנוסט
Glass	זכוכית
Glasses	משקפיים
Glider	דאון
Global Positioning System	GPS
Global warming	התחממות עולמית
Globalization	גלובליזציה
Globe artichoke	ארטישוק
Gloucestershire	גלוסטרשייר
Glucagon	גלוקגון
Glucose	גלוקוז
Gluon	גלואון
Glutamic acid	חומצה גלוטמית
Glycerol	גליצרול
Glycine	גליצין
Glycogen	גליקוגן
Glycolysis	גליקוליזה
Gnathostomata	חולייתנים לסתניים
Gnosticism	גנוסיס
Go (board game)	גו
Goa	גואה
Goalkeeper	שוער
Goat	עז הבית
Gobi Desert	מדבר גובי
God	אלוהים
Golan Heights	רמת הגולן
Gold	זהב
Golda Meir	גולדה מאיר
Golden Eagle	עיט זהוב
Golden Gate Bridge	גשר שער הזהב
Golden Horde	אורדת הזהב
Golden Retriever	גולדן רטריבר
Golf	גולף
Golf	קטגוריה:גולף
Golgi apparatus	גולג'י
Gomel	הומל
Good Friday	יום שישי הטוב
Google	גוגל (חברה)
Google	קטגוריה:גוגל
Googol	גוגול
Gorgon	גורגונה
Gorilla	גורילה
Gospel	בשורות
Gospel of Luke	הבשורה על-פי לוקאס
Gothenburg	גטבורג
Gothic	גותי
Gothic architecture	אדריכלות גותית
Gotthold Ephraim Lessing	גוטהולד אפרים לסינג
Gottlieb Daimler	גוטליב דיימלר
Gout	שיגדון
Government	ממשלה
Grace Kelly	גרייס קלי
Gradient	גרדיאנט
Graffiti	גרפיטי
Graham Greene	גרהם גרין
Grammar	דקדוק
Grammar	קטגוריה:דקדוק
Grammatical gender	מין (בלשנות)
Granada	גרנדה (ספרד)
Grand Canyon	הפארק הלאומי גרנד קניון
Grand Slam (tennis)	גראנד סלאם (טניס)
Grandmaster (chess)	רב אמן (שחמט)
Granite	גרניט
Grapefruit	אשכולית
Graphic design	קטגוריה:עיצוב גרפי
Graphic design	עיצוב גרפי
Graphite	גרפיט
Gravitation	כבידה
Gravitational constant	קבוע הכבידה
Graviton	גרביטון
Gray (unit)	גריי
Gray Wolf	זאב מצוי
Graz	גראץ
Great Barrier Reef	שונית המחסום הגדולה
Great Britain	בריטניה הגדולה
Great Depression	השפל הגדול
Great Lakes	הימות הגדולות
Great Rift Valley	השבר הסורי-אפריקני
Great Wall of China	החומה הסינית
Great white shark	קרחה לבנה
Greater Antilles	האנטילים הגדולים
Greater London	לונדון רבתי
Greatest common divisor	מחלק משותף מקסימלי
Grebe	טבלניים
Greece	יוון
Greece	קטגוריה:יוון
Greek alphabet	אלפבית יווני
Greek alphabet	קטגוריה:אלפבית יווני
Greek fire	אש יוונית
Greek mythology	מיתולוגיה יוונית
Greek mythology	קטגוריה:מיתולוגיה יוונית
Green	ירוק
Greenhouse	חממה
Greenhouse effect	אפקט החממה
Greenhouse gas	גז חממה
Greenland	גרינלנד
Greenland	קטגוריה:גרינלנד
Greenland Sea	ים גרינלנד
Greenpeace	גרינפיס
Greenwich	גריניץ'
Greenwich Mean Time	שעון גריניץ'
Gregor Mendel	גרגור מנדל
Gregorian calendar	הלוח הגרגוריאני
Grenada	קטגוריה:גרנדה
Grenoble	גרנובל
Greta Garbo	גרטה גרבו
Grey	אפור
Griffin	גריפון
Griffon Vulture	נשר מקראי
Gross domestic product	תוצר מקומי גולמי
Group (mathematics)	חבורה (מבנה אלגברי)
Group (periodic table)	סדרה כימית
Group theory	תורת החבורות
Grover Cleveland	גרובר קליבלנד
Grozny	גרוזני
Gruiformes	עגוראים
Grus (constellation)	עגור (קבוצת כוכבים)
Guadalajara	גוודלחרה (מקסיקו)
Guadeloupe	גוואדלופ
Guam	גואם
Guangdong	גואנגדונג
Guangzhou	גואנגג'ואו
Guanine	גואנין
Guano	גואנו
Guatemala	קטגוריה:גואטמלה
Guatemala City	גואטמלה סיטי
Guernsey	גרנזי
Guglielmo Marconi	גוליילמו מרקוני
Guild	גילדה
Guillaume Apollinaire	גיום אפולינר
Guillotine	גיליוטינה
Guinea	גינאה
Guinea	קטגוריה:גינאה
Guinea-Bissau	גינאה ביסאו
Guinea-Bissau	קטגוריה:גינאה ביסאו
Guitar	גיטרה
Gujarat	גוג'אראט
Gulag	גולאג
Gulf Stream	זרם הגולף
Gulf War	מלחמת המפרץ
Gulf of Aden	מפרץ עדן
Gulf of Aqaba	מפרץ אילת
Gulf of Bothnia	המפרץ הבוטני
Gulf of Finland	המפרץ הפיני
Gulf of Guinea	מפרץ גינאה
Gulf of Mexico	מפרץ מקסיקו
Gulf of Oman	מפרץ עומאן
Gulf of Riga	מפרץ ריגה
Gulf of Thailand	מפרץ תאילנד
Gull	שחף
Gunpowder	אבק שריפה
Gunpowder Plot	מזימת אבק השריפה
Guppy	גופי
Gustav Klimt	גוסטב קלימט
Gustav Mahler	גוסטב מאהלר
Gustave Courbet	גוסטב קורבה
Gustave Flaubert	גוסטב פלובר
Guy Fawkes	גאי פוקס
Guy de Maupassant	גי דה מופאסאן
Guyana	קטגוריה:גיאנה
Gymnastics	התעמלות
Gymnosperm	חשופי זרע
Gynaecology	גינקולוגיה
Gypsum	גבס
Gyroscope	גירוסקופ
H	H
H. G. Wells	הרברט ג'ורג' ולס
HIV	HIV
HTML	HTML
Habitat	בית גידול
Hacker	האקר
Hadean	האדן
Hades	האדס
Hadith	חדית'
Hadrian	אדריאנוס
Hadrian's Wall	חומת אדריאנוס
Hadron	האדרון
Haemophilia	המופיליה
Hafnium	הפניום
Hagia Sophia	איה סופיה
Haifa	חיפה
Haiku	האיקו
Hail	ברד
Hail Mary	אווה מריה
Hair	שיער
Haiti	האיטי
Haiti	קטגוריה:האיטי
Hajj	חג'
Halal	חלאל
Halberd	האלברד
Half-life	מחצית חיים
Halloween	ליל כל הקדושים
Hallucination	הזיה
Halogen	הלוגן
Hamas	חמאס
Hamburg	המבורג
Hamburger	המבורגר
Hamlet	המלט
Hammer	פטיש
Hammer and sickle	הפטיש והמגל
Hammurabi	חמורבי
Hampshire	המפשייר
Hand	כף יד
Hand grenade	רימון יד
Handgun	אקדח
Hanging	תלייה
Hanging Gardens of Babylon	הגנים התלויים בבבל
Hannah Arendt	חנה ארנדט
Hannibal	חניבעל
Hanoi	האנוי
Hanover	הנובר
Hans Bethe	האנס בתה
Hans Christian Andersen	הנס כריסטיאן אנדרסן
Hanseatic League	ברית ערי הנזה
Hanukkah	חנוכה
Happiness	שמחה
Harare	הארארה
Hardness	קשיות
Harem	הרמון
Harlem	הארלם
Harmonica	מפוחית פה
Harmony	הרמוניה
Harold Pinter	הרולד פינטר
Harp	נבל (כלי נגינה)
Harpsichord	צ'מבלו
Harpy	הרפיה (מיתולוגיה)
Harriet Beecher Stowe	הארייט ביצ'ר סטואו
Harriet Tubman	הארייט טאבמן
Harrisburg	האריסברג
Harry Houdini	הארי הודיני
Hartford	הרטפורד
Hassium	האסיום
Hatred	שנאה
Haute-Normandie	נורמנדי עילית
Havana	הוואנה
Hawaii	הוואי
Hawaii	קטגוריה:הוואי
Head	ראש
Head of state	ראש מדינה
Health	בריאות
Health	קטגוריה:בריאות
Heart	לב האדם
Heat	חום (פיזיקה)
Heat engine	מנוע חום
Heavy metal	קטגוריה:מטאל
Heavy metal music	הבי מטאל
Heavy water	מים כבדים
Hebe (mythology)	הבה
Hebei	הביי
Hebrew alphabet	אלפבית עברי
Hebrew calendar	הלוח העברי
Hebrides	האיים ההברידיים
Hectare	הקטאר
Hector	הקטור
Hector Berlioz	הקטור ברליוז
Hedgehog	קיפוד
Hedonism	נהנתנות
Heimdall	היימדייל
Heinrich Hertz	היינריך רודולף הרץ
Heinrich Himmler	היינריך הימלר
Heinrich Schliemann	היינריך שלימן
Helen	הלנה
Helen Keller	הלן קלר
Helena	הלנה (מונטנה)
Helicopter	מסוק
Helios	הליוס
Helium	הליום
Hell	גיהנום
Helmut Schmidt	הלמוט שמידט
Helsinki	הלסינקי
Hematite	המטיט
Hematology	המטולוגיה
Hematology	קטגוריה:המטולוגיה
Hemoglobin	המוגלובין
Hemorrhoid	טחורים
Henri Becquerel	אנרי בקרל
Henri Bergson	אנרי ברגסון
Henri Matisse	אנרי מאטיס
Henrik Ibsen	הנריק איבסן
Henry (unit)	הנרי (השראות)
Henry Cavendish	הנרי קוונדיש
Henry David Thoreau	הנרי דייוויד תורו
Henry Fonda	הנרי פונדה
Henry Ford	הנרי פורד
Henry James	הנרי ג'יימס
Henry Kissinger	הנרי קיסינג'ר
Henry Miller	הנרי מילר
Henry Moore	הנרי מור
Henry Purcell	הנרי פרסל
Hepatitis	דלקת כבד
Hephaestus	הפייסטוס
Hera	הרה
Heracles	הרקולס
Heraclitus	הרקליטוס
Heraldry	הרלדיקה
Heraldry	קטגוריה:הרלדיקה
Herbert Hoover	הרברט הובר
Herbert Marcuse	הרברט מרקוזה
Herbert Spencer	הרברט ספנסר
Hercules	הרקולס
Hercules (constellation)	הרקולס (קבוצת כוכבים)
Heresy	כופר (אמונה דתית)
Herman Melville	הרמן מלוויל
Hermann Hesse	הרמן הסה
Hermann Minkowski	הרמן מינקובסקי
Hermann von Helmholtz	הרמן פון הלמהולץ
Hermaphrodite	הרמפרודיט
Hermeneutics	הרמנויטיקה
Hermes	הרמס
Hero	גיבור
Hero of Alexandria	הרון מאלכסנדריה
Herod the Great	הורדוס
Herodotus	הרודוטוס
Heroin	הרואין
Heron	אנפתיים
Hertz	הרץ
Hesiod	הסיודוס
Hesperides	הספרידות
Hesse	הסה
Hesse	קטגוריה:הסה
Hestia	הסטיה
Heterosexuality	הטרוסקסואליות
Heterotroph	הטרוטרוף
Hexadecimal	בסיס הקסדצימלי
Hexagon	משושה
Hezbollah	חיזבאללה
Hibernation	תרדמה
Hieronymus Bosch	הירונימוס בוש
Hilbert space	מרחב הילברט
Himalayas	הימלאיה
Hindu Kush	הינדו-כוש
Hinduism	הינדואיזם
Hinduism	קטגוריה:הינדואיזם
Hipparchus	היפרכוס
Hippie	ילדי הפרחים
Hippocrates	היפוקרטס
Hippocratic Oath	שבועת הרופאים
Hippopotamus	היפופוטם
Hirohito	הירוהיטו
Hiroshima	הירושימה
Hispaniola	היספניולה
Histidine	היסטידין
Histology	היסטולוגיה
Histology	קטגוריה:היסטולוגיה
Histone	היסטון
Historiography	היסטוריוגרפיה
History	היסטוריה
History	קטגוריה:היסטוריה
History	פורטל:היסטוריה
Ho Chi Minh	הו צ'י מין
Ho Chi Minh City	הו צ'י מין סיטי
Hobart	הובארט
Hobbit	הוביט
Holiday	חג
Hollywood	הוליווד
Holmium	הולמיום
Holocene	הולוקן
Holography	הולוגרפיה
Holy Grail	הגביע הקדוש
Holy Roman Empire	האימפריה הרומית הקדושה
Holy Roman Empire	קטגוריה:האימפריה הרומית הקדושה
Holy Spirit	(נצרות)רוח הקודש
Homeopathy	הומאופתיה
Homeostasis	הומאוסטזה
Homer	הומרוס
Hominidae	הומינידיים
Homo (genus)	אדם (סוג)
Homo erectus	הומו ארקטוס
Homo habilis	הומו הביליס
Homophobia	הומופוביה
Homosexuality	הומוסקסואליות
Honduras	הונדורס
Honduras	קטגוריה:הונדורס
Honey	דבש
Honey Buzzard	איית צרעים
Hong Kong	הונג קונג
Hong Kong	קטגוריה:הונג קונג
Honiara	הוניארה
Honolulu	הונולולו
Hookah	נרגילה
Hooke's law	חוק הוק
Hoopoe	דוכיפת
Horace	הורטיוס
Horatio Nelson	הוריישו נלסון
Hormone	הורמון
Horn (anatomy)	קרן (זואולוגיה)
Horn (instrument)	קרן יער
Horn of Africa	קרן אפריקה
Horoscope	הורוסקופ
Horse	סוס הבית
Horse racing	מירוץ סוסים
Horsepower	כוח סוס
Horus	הורוס
Hosni Mubarak	חוסני מובארכ
Hospital	בית חולים
Hotel	בית מלון
Hour	שעה
Hourglass	שעון חול
House	בית מגורים
House (TV series)	האוס (סדרת טלוויזיה)
House Mouse	עכבר מצוי
House Sparrow	דרור הבית
Houston	יוסטון
Hovercraft	רחפת
Hubble's law	קבוע האבל
Hudson Bay	מפרץ הדסון
Hudson River	הדסון (נהר)
Hugh Capet	איג קאפה, מלך צרפת
Huguenot	הוגנוטים
Human	האדם הנבון
Humanism	הומניזם
Humanities	קטגוריה:מדעי הרוח
Humerus	עצם הזרוע
Humidity	לחות
Hummingbird	קוליבריים
Humor	קטגוריה:הומור
Humour	הומור
Humpback Whale	לווייתן גדול סנפיר
Humphrey Bogart	המפרי בוגרט
Humus	הומוס
Hunan	הונאן
Hundred Years' War	מלחמת מאה השנים
Hungary	הונגריה
Hungary	קטגוריה:הונגריה
Hunger	רעב
Hunting	ציד
Hutu	הוטו
Hydra (constellation)	נחש מים (קבוצת כוכבים)
Hydrocarbon	פחמימן
Hydrochloric acid	חומצת מימן כלורי
Hydroelectricity	תחנת כוח הידרואלקטרית
Hydrogen	מימן
Hydrogen bond	קשר מימן
Hydrogen cyanide	מימן ציאנידי
Hydrogen peroxide	מימן על-חמצני
Hydrology	הידרולוגיה
Hydrology	קטגוריה:הידרולוגיה
Hydrolysis	הידרוליזה
Hydrus	נחש מים קטן
Hyena	צבועיים
Hygiene	קטגוריה:היגיינה
Hymen	קרום בתולים
Hymenoptera	קטגוריה:דבוראים
Hymenoptera	דבוראים
Hyperbola	היפרבולה
Hyperbole	הגזמה
Hyperion (mythology)	היפריון
Hypertext	היפרטקסט
Hypertext Transfer Protocol	Hypertext Transfer Protocol
Hypnos	היפנוס
Hypnosis	היפנוזה
Hypothalamus	היפותלמוס
Hypothesis	השערה (מדע)
I	I
I. M. Pei	איי אם פיי
IPod	IPod
Ian Fleming	איאן פלמינג
Iapetus (moon)	יאפטוס (ירח)
Iapetus (mythology)	יאפטוס (מיתולוגיה)
Iberian Peninsula	חצי האי האיברי
Ibuprofen	איבופרופן
Ice	קרח
Ice age	עידן הקרח
Ice cream	גלידה
